,Unnamed: 0,Borough,Postal Code,"Neighbourhood
",Latitude,Longitude
0,0,Central Toronto,M4N,Lawrence Park,43.7280205,-79.3887901
1,1,Central Toronto,M4P,"Davisville North
",43.7127511,-79.3901975
2,2,Central Toronto,M4R,"North Toronto West
",43.7153834,-79.40567840000001
3,3,Central Toronto,M4S,"Davisville
",43.7043244,-79.3887901
4,4,Central Toronto,M4T,"Moore Park, Summerhill East
",43.6895743,-79.38315990000001
5,5,Central Toronto,M4V,"Deer Park, Forest Hill SE
, Rathnelly, South Hill, Summerhill West
",43.68641229999999,-79.4000493
6,6,Central Toronto,M5N,"Roselawn
",43.7116948,-79.41693559999999
7,7,Central Toronto,M5P,"Forest Hill North, Forest Hill West
",43.6969476,-79.41130720000001
8,8,Central Toronto,M5R,"The Annex, North Midtown
, Yorkville",43.6727097,-79.40567840000001
9,9,Downtown Toronto,M4W,Rosedale,43.6795626,-79.37752940000001
10,10,Downtown Toronto,M4X,"Cabbagetown, St. James Town",43.667967,-79.3676753
11,11,Downtown Toronto,M4Y,Church and Wellesley,43.6658599,-79.38315990000001
12,12,Downtown Toronto,M5A,"Harbourfront, Regent Park",43.6542599,-79.3606359
13,13,Downtown Toronto,M5B,"Ryerson, Garden District
",43.6571618,-79.37893709999999
14,14,Downtown Toronto,M5C,St. James Town,43.6514939,-79.3754179
15,15,Downtown Toronto,M5E,Berczy Park,43.644770799999996,-79.3733064
16,16,Downtown Toronto,M5G,"Central Bay Street
",43.6579524,-79.3873826
17,17,Downtown Toronto,M5H,"Adelaide, King, Richmond
",43.65057120000001,-79.3845675
18,18,Downtown Toronto,M5J,"Harbourfront East
, Toronto Islands, Union Station",43.6408157,-79.38175229999999
19,19,Downtown Toronto,M5K,"Design Exchange, Toronto Dominion Centre",43.6471768,-79.38157640000001
20,20,Downtown Toronto,M5L,"Commerce Court, Victoria Hotel
",43.6481985,-79.37981690000001
21,21,Downtown Toronto,M5S,"Harbord
, University of Toronto",43.6626956,-79.4000493
22,22,Downtown Toronto,M5T,"Chinatown, Grange Park, Kensington Market",43.6532057,-79.4000493
23,23,Downtown Toronto,M5V,"CN Tower, Bathurst Quay
, Island airport
, Harbourfront West
, King and Spadina, Railway Lands, South Niagara",43.6289467,-79.3944199
24,24,Downtown Toronto,M5W,"Stn A PO Boxes 25 The Esplanade
",43.6464352,-79.37484599999999
25,25,Downtown Toronto,M5X,"First Canadian Place, Underground city",43.6484292,-79.3822802
26,26,Downtown Toronto,M6G,"Christie
",43.669542,-79.4225637
27,27,East Toronto,M4E,The Beaches,43.67635739999999,-79.2930312
28,28,East Toronto,M4K,"The Danforth West
, Riverdale",43.6795571,-79.352188
29,29,East Toronto,M4L,"The Beaches West
, India Bazaar",43.6689985,-79.31557159999998
30,30,East Toronto,M4M,"Studio District
",43.6595255,-79.340923
31,31,East Toronto,M7Y,"Business Reply Mail Processing Centre 969 Eastern
",43.6627439,-79.321558
32,32,East York,M4B,"Woodbine Gardens, Parkview Hill",43.7063972,-79.309937
33,33,East York,M4C,Woodbine Heights,43.695343900000005,-79.3183887
34,34,East York,M4G,Leaside,43.7090604,-79.3634517
35,35,East York,M4H,Thorncliffe Park,43.7053689,-79.34937190000001
36,36,East York,M4J,East Toronto,43.685347,-79.3381065
37,37,Etobicoke,M8V,"Humber Bay Shores
, Mimico South
, New Toronto",43.6056466,-79.50132070000001
38,38,Etobicoke,M8W,"Alderwood, Long Branch",43.60241370000001,-79.54348409999999
39,39,Etobicoke,M8X,"The Kingsway, Montgomery Road
, Old Mill North
",43.653653600000005,-79.5069436
40,40,Etobicoke,M8Y,"Humber Bay, King's Mill Park, Kingsway Park South East
, Mimico NE, Old Mill South, The Queensway East, Royal York South East, Sunnylea",43.6362579,-79.49850909999999
41,41,Etobicoke,M8Z,"Kingsway Park South West
, Mimico NW, The Queensway West, Royal York South West
, South of Bloor",43.6288408,-79.52099940000001
42,42,Etobicoke,M9A,Islington Avenue,43.6678556,-79.53224240000002
43,43,Etobicoke,M9B,"Cloverdale
, Islington, Martin Grove
, Princess Gardens, West Deane Park",43.6509432,-79.55472440000001
44,44,Etobicoke,M9C,"Bloordale Gardens
, Eringate
, Markland Wood, Old Burnhamthorpe
",43.6435152,-79.57720079999999
45,45,Etobicoke,M9P,Westmount,43.696319,-79.53224240000002
